"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"4934";"grace primary care pc";2016-06-07;6853;"HACK";"MED";"US GA: State";2016
"4935";"the vein doctor";2016-06-03;3000;"HACK";"MED";"US GA: State";2016
"4936";"the university of new mexico";2016-06-03;2827;"DISC";"MED";"US GA: State";2016
"4937";"vincent vein center";2016-06-07;2250;"HACK";"MED";"US GA: State";2016
"4938";"pain treatment centers of america interventional surgery institute";2016-04-11;19397;"HACK";"MED";"US GA: State";2016
"4939";"integrated health solutions pc";2016-05-25;19776;"HACK";"MED";"Media";2016
"4940";"stamford podiatry group pc";2016-05-25;40491;"HACK";"MED";"Media";2016
"4941";"orchid mps holdings llc welfare benefit plan";2016-05-26;771;"DISC";"MED";"US GA: State";2016
"4942";"washington dc va medical center";2016-05-31;1062;"PHYS";"MED";"US GA: State";2016
"4943";"allen dell p a";2016-06-01;2500;"HACK";"BSO";"US GA: State";2016
"4944";"ent allergy center";2016-06-01;16200;"HACK";"MED";"US GA: State";2016
"4945";"southeast eye institute p a dba eye associates of pinellas";2016-05-05;87314;"HACK";"MED";"Media";2016
"4946";"regional income tax agency";2016-01-04;50000;"PHYS";"BSF";"Media";2016
"4947";"indiana university health arnett hospital";2016-01-07;29000;"PORT";"MED";"Media";2016
"4948";"fidelis care";2016-01-07;738;"DISC";"MED";"US GA: State";2016
"4949";"st lukes cornwall hospital";2016-01-14;29156;"PORT";"MED";"Media";2016
"4950";"ocean acquisitions inc";2016-09-06;659;"PHYS";"BSO";"Nonprofit organization";2016
"4953";"ocean acquisitions inc";2016-02-06;659;"PORT";"BSO";"Nonprofit organization";2016
"4954";"ocean acquisitions inc";2016-02-09;659;"PORT";"MED";"Media";2016
"4956";"bizmatics inc";2016-06-17;177000;"HACK";"MED";"Media";2016
"4957";"texas health and human services";2016-06-23;600;"PHYS";"MED";"Media";2016
"4961";"linda j white dds pc";2016-06-27;2000;"PORT";"MED";"US GA: State";2016
"4962";"kern county mental health";2016-06-14;1212;"DISC";"MED";"US GA: State";2016
"4963";"riverside health system";2016-06-10;578;"DISC";"MED";"US GA: State";2016
"4964";"saint mary and elizabeth hospital";2016-06-10;1682;"HACK";"MED";"US GA: State";2016
"4965";"pruitt health hospice beaufort";2016-06-09;1437;"DISC";"MED";"US GA: State";2016
"4969";"massachusetts general hospital";2016-06-29;4293;"HACK";"MED";"US GA: State";2016
"4970";"my pediatrician";2016-06-01;2500;"HACK";"MED";"US GA: State";2016
"4971";"nintendo of america inc";2016-02-26;6248;"HACK";"MED";"US GA: State";2016
"4972";"hawaii medical service association";2016-01-15;10179;"DISC";"MED";"US GA: State";2016
"4973";"fellicia lewis m d";2016-01-14;1500;"HACK";"MED";"US GA: State";2016
"4974";"pittman family dental";2015-12-31;8830;"HACK";"MED";"US GA: State";2015
"4975";"michael benjamin m d inc";2015-12-28;1300;"PHYS";"MED";"US GA: State";2015
"4976";"healthsouth rehabilitation hospital of round rock";2015-12-24;1359;"PORT";"MED";"US GA: State";2015
"4977";"st psychotherapy llc";2015-12-23;509;"PORT";"MED";"US GA: State";2015
"4978";"allina health";2015-12-23;6195;"PHYS";"MED";"US GA: State";2015
"4979";"white glove health";2015-12-23;975;"DISC";"MED";"US GA: State";2015
"4980";"radiology regional center pa";2016-02-15;483063;"PHYS";"MED";"Media";2016
"4981";"pennsylvania revenue department";2016-07-12;865;"PORT";"GOV";"Media";2016
"4988";"uncommon care p a";2016-06-21;13674;"HACK";"MED";"US GA: State";2016
"4989";"midland women s clinic";2016-06-17;717;"DISC";"MED";"US GA: State";2016
"4990";"laser dermatologic surgery center";2016-06-14;31000;"HACK";"MED";"US GA: State";2016
"4991";"midland county hospital district dba midland memorial hospital";2016-06-07;1468;"DISC";"MED";"US GA: State";2016
"4996";"cardon outreach";2016-07-27;22;"INSD";"MED";"Media";2016
"4997";"providence health services";2016-07-16;5400;"INSD";"MED";"Media";2016
"4999";"elex mobile game clash of kings";2016-07-22;1600000;"HACK";"BSO";"Media";2016
"5001";"disney consumer products and interactive media";2016-07-30;365000;"HACK";"BSO";"Media";2016
"5002";"select pain spine dr christopher t sloan d p m";2016-07-27;48000;"HACK";"MED";"Media";2016
"5003";"midwest orthopedic group";2016-07-26;29153;"HACK";"MED";"Media";2016
"5004";"sunbury plaza dental";2016-07-21;7784;"PHYS";"MED";"US GA: State";2016
"5005";"premier family care i inc";2016-07-20;1326;"DISC";"MED";"US GA: State";2016
"5006";"lee rice d o medical corp dba lifewellness institute";2016-07-15;2473;"HACK";"MED";"US GA: State";2016
"5007";"sunshine state health plan inc";2016-07-14;1479;"DISC";"MED";"US GA: State";2016
"5008";"lasair aesthetic health p c";2016-07-11;1835;"DISC";"MED";"US GA: State";2016
"5009";"health incent llc";2016-07-11;1100;"HACK";"MED";"US GA: State";2016
"5010";"dr q pain and spine d b a arkansas spine and pain";2016-07-11;17100;"HACK";"MED";"US GA: State";2016
"5011";"heart center of southern maryland l l p";2016-07-07;1350;"HACK";"MED";"US GA: State";2016
"5012";"the ambulatory surgery center at st mary";2016-07-07;13000;"HACK";"MED";"US GA: State";2016
"5013";"planned parenthood of the heartland";2016-07-01;2506;"DISC";"MED";"US GA: State";2016
"5017";"7 eleven inc";2016-08-08;7820;"DISC";"BSO";"US GA: State";2016
"5018";"brian d halevie goldman m d";2016-08-09;2000;"PORT";"MED";"US GA: State";2016
"5019";"bon secours health system";2016-08-12;655000;"DISC";"MED";"Media";2016
"5021";"professional dermatology care p c";2016-08-09;13237;"HACK";"MED";"US GA: State";2016
"5022";"prosthetic orthotic care inc";2016-08-11;23015;"HACK";"MED";"Media";2016
"5023";"center for minimally invasive bariatric and general surgery";2016-08-05;992;"DISC";"MED";"US GA: State";2016
"5024";"jefferson medical associates p a";2016-07-29;10401;"HACK";"MED";"Media";2016
"5025";"starcare specialty health system";2016-07-25;2844;"PORT";"MED";"US GA: State";2016
"5031";"pax labs inc";2016-08-12;6000;"HACK";"BSO";"US GA: State";2016
"5032";"epic games forums";2016-08-23;808000;"HACK";"BSO";"Media";2016
"5037";"orleans medical clinic";2016-08-19;6890;"HACK";"MED";"US GA: State";2016
"5038";"phoenix dental care";2016-08-15;500;"PHYS";"MED";"US GA: State";2016
"5039";"the carle foundation";2016-08-04;1185;"DISC";"MED";"US GA: State";2016
"5041";"infowars prison planet tv";2016-08-26;50000;"HACK";"BSO";"Media";2016
"5048";"illinois board of elections";2016-08-30;2e+05;"HACK";"GOV";NA;2016
"5051";"brazzers com";2016-09-06;8e+05;"HACK";"BSO";"Media";2016
"5055";"wabash college";2015-12-18;49;"HACK";"EDU";"US GA: State";2015
"5056";"point breeze credit union";2015-12-31;389;"DISC";"BSF";"US GA: State";2015
"5061";"fuzzy s taco shopabi";2016-09-08;2000;"HACK";"BSO";"Media";2016
"5065";"wheeler egger cpa s llp";2016-09-11;45;"HACK";"BSF";"US GA: State";2016
"5071";"vesta property services";2015-12-15;3;"PHYS";"BSO";"US GA: State";2015
"5072";"clixsense";2016-09-14;6600000;"HACK";"BSO";"Media";2016
"5073";"new york state psychiatric institute";2016-09-01;21880;"HACK";"GOV";"Media";2016
"5074";"new york state psychiatric institute";2016-09-13;22000;"HACK";"MED";"Media";2016
"5075";"the world anti doping agency wada";2016-09-13;4;"HACK";"BSO";"Media";2016
"5076";"u s healthworks";2016-09-09;1400;"PORT";"MED";"US GA: State";2016
"5077";"medical college of wisconsin";2016-09-02;3179;"HACK";"MED";"US GA: State";2016
"5079";"asante";2016-09-09;2400;"DISC";"MED";"US GA: State";2016
"5080";"martin army community hospital";2016-09-09;1000;"PHYS";"MED";"US GA: State";2016
"5081";"yahoo";2016-09-22;5e+08;"HACK";"BSO";"Media";2016
"5082";"yale new haven hospital";2016-09-26;20;"INSD";"MED";"Media";2016
"5099";"warren clinic";2016-10-07;2938;"HACK";"MED";"US GA: State";2016
"5100";"northwest community healthcare";2016-10-07;540;"DISC";"MED";"US GA: State";2016
"5101";"baxter regional medical center home health facility";2016-10-05;2124;"DISC";"MED";"US GA: State";2016
"5102";"apria healthcare";2016-10-04;1987;"DISC";"MED";"US GA: State";2016
"5103";"juame francisco d o";2016-10-04;14236;"HACK";"MED";"US GA: State";2016
"5104";"university of wisconsin hospitals and clinics";2016-09-30;6923;"DISC";"MED";"US GA: State";2016
"5109";"peabody retirement community";2016-10-14;1466;"HACK";"MED";"US GA: State";2016
"5110";"rainbow children s clinic";2016-10-03;33698;"HACK";"MED";"US GA: State";2016
"5112";"gibson insurance agency inc";2016-10-14;7242;"PORT";"MED";"US GA: State";2016
"5114";"weebly";2016-10-20;43430300;"HACK";"BSO";"Media";2016
"5115";"foursquare";2016-10-21;22535000;"HACK";"BSO";"Media";2016
"5117";"great america pac";2016-10-21;336;"DISC";"BSO";"Media";2016
"5118";"florida hospital medical group";2016-10-21;6000;"PHYS";"MED";"Media";2016
"5120";"baystate health";2016-10-21;13000;"HACK";"MED";"Media";2016
"5123";"baystate health inc";2016-10-21;13112;"HACK";"MED";"US GA: State";2016
"5124";"bedford county board of education";2016-10-12;862;"DISC";"MED";"US GA: State";2016
"5125";"genesis physical therapy inc";2016-10-07;2245;"DISC";"MED";"US GA: State";2016
"5126";"urgent care clinic of oxford";2016-09-30;64000;"HACK";"MED";"US GA: State";2016
"5127";"fred s stores of tennessee";2016-09-29;9624;"PORT";"MED";"US GA: State";2016
"5128";"office of the comptroller of the currency";2016-10-28;10000;"INSD";"GOV";"Media";2016
"5133";"dr dennis t myers d d s p a";2016-10-24;3364;"HACK";"MED";"US GA: State";2016
"5134";"the finley center";2016-10-20;3000;"PHYS";"MED";"US GA: State";2016
"5135";"you and your health family care inc";2016-10-20;3000;"HACK";"MED";"US GA: State";2016
"5136";"san juan oncology associates";2016-09-29;500;"HACK";"MED";"US GA: State";2016
"5137";"thomasville eye center";2016-09-28;10981;"DISC";"MED";"US GA: State";2016
"5138";"prima medical foundation";2016-09-26;2933;"HACK";"MED";"US GA: State";2016
"5139";"marin healthcare district";2016-09-27;2292;"HACK";"MED";"US GA: State";2016
"5140";"group health";2016-09-23;668;"DISC";"MED";"US GA: State";2016
"5141";"jennie stuart medical center";2016-09-23;1500;"HACK";"MED";"US GA: State";2016
"5142";"new jersey spine center";2016-09-22;28000;"HACK";"MED";"US GA: State";2016
"5143";"mclaren greater lansing cardiovascular group";2016-09-21;1000;"DISC";"MED";"US GA: State";2016
"5144";"ventura county health care agency";2016-09-20;777;"DISC";"MED";"US GA: State";2016
"5145";"kidspeace";2016-09-19;1456;"PHYS";"MED";"US GA: State";2016
"5146";"heritage medical partners llc";2016-09-15;812;"DISC";"MED";"US GA: State";2016
"5147";"king of prussia dental associates";2016-09-13;16228;"HACK";"MED";"US GA: State";2016
"5148";"pratap s kurra m d";2016-09-12;2029;"PHYS";"MED";"US GA: State";2016
"5149";"public education employees health insurance plan";2016-09-09;1349;"DISC";"MED";"US GA: State";2016
"5150";"man alive inc and lane treatment center llc";2016-09-08;860;"HACK";"MED";"US GA: State";2016
"5151";"santa cruz county health services agency";2016-09-02;25000;"DISC";"MED";"US GA: State";2016
"5152";"willow bend dental";2016-08-31;625;"PHYS";"MED";"US GA: State";2016
"5153";"howard r jarvis d m d l l c dba southwest portland dental";2016-08-30;1980;"HACK";"MED";"US GA: State";2016
"5154";"county of los angeles";2016-08-30;743;"PHYS";"MED";"US GA: State";2016
"5155";"planned parenthood of greater washington and north idaho";2016-08-26;10700;"DISC";"MED";"US GA: State";2016
"5156";"summit medical group in dba st elizabeth physicians";2016-08-23;674;"DISC";"MED";"US GA: State";2016
"5157";"village of oak park";2016-08-18;688;"HACK";"MED";"US GA: State";2016
"5158";"new york state office of mental health";2016-08-15;21880;"HACK";"MED";"US GA: State";2016
"5159";"memorial hermann health system";2016-07-20;12061;"DISC";"MED";"US GA: State";2016
"5160";"neurology physicians llc";2016-07-20;4831;"HACK";"MED";"US GA: State";2016
"5161";"texas health and human services commission";2016-06-14;600;"PHYS";"MED";"US GA: State";2016
"5162";"edward g myers d o inc";2016-06-10;6441;"HACK";"MED";"US GA: State";2016
"5163";"pace university";2016-11-08;1000;"HACK";"EDU";"Media";2016
"5166";"friendfinder";2016-11-16;4,12e+08;"HACK";"BSO";"Media";2016
"5175";"lebanon cardilogy associates pc";2016-11-14;537;"PORT";"MED";"US GA: State";2016
"5176";"irs";2016-11-20;28200000;"INSD";"GOV";"Media";2016
"5177";"michigan state university";2016-11-18;4e+05;"HACK";"EDU";"Media";2016
"5181";"united states navy career waypoints c way database";2016-11-23;134386;"DISC";"GOV";"Media";2016
"5184";"darlington";2016-11-22;600;"PHYS";"MED";"US GA: State";2016
"5185";"google android";2016-11-30;1e+06;"HACK";"BSO";"Media";2016
"5186";"hewitt associates";2016-11-29;2892;"HACK";"BSO";"US GA: State";2016
"5192";"cvs health";2016-12-05;626;"PHYS";"BSO";"US GA: State";2016
"5193";"sequin dermatology office of robert j magnon md";2016-11-30;29969;"HACK";"MED";"US GA: State";2016
"5194";"louisiana health cooperative inc in rehabilitation";2016-11-30;8000;"HACK";"MED";"US GA: State";2016
"5196";"quest diagnostics";2016-12-12;34000;"HACK";"MED";"US GA: State";2016
"5199";"preventice services llc";2016-12-07;6800;"DISC";"MED";"US GA: State";2016
"5200";"dr melissa d selke";2016-12-05;4277;"HACK";"MED";"US GA: State";2016
"5201";"glendale adventist medical center";2016-11-28;528;"HACK";"MED";"US GA: State";2016
"5202";"young adult institute inc";2016-11-28;913;"PHYS";"MED";"US GA: State";2016
"5203";"yahoo";2016-12-14;3e+09;"HACK";"BSO";"Media";2016
"5207";"us election assistance commission";2016-12-15;100;"HACK";"GOV";"Media";2016
"5209";"county of los angeles";2016-12-16;108;"HACK";"GOV";"US GA: State";2016
"5215";"new hampshire department of health and human services";2016-12-29;15000;"INSD";"MED";NA;2016
"5218";"hewlett packard enterprise services";2016-11-23;134386;"HACK";"BSO";"Media";2016
"5219";"washington department of fish and wildlife";2016-10-14;1700000;"HACK";"GOV";"US GA: State";2016
"5222";"u s department of health and human services";2016-08-05;5e+06;"PORT";"GOV";"Media";2016
"5223";"salem five cents savings bank";2016-01-04;315;"HACK";"BSF";"US GA: State";2016
"5224";"motivate international inc";2016-01-11;43;"HACK";"BSO";"US GA: State";2016
"5225";"clarks americas inc";2016-01-12;37;"HACK";"BSO";"US GA: State";2016
"5226";"the cooperative bank of cape cod";2016-01-12;166;"HACK";"BSF";"US GA: State";2016
"5227";"eastern bank";2016-01-12;121;"HACK";"BSF";"US GA: State";2016
"5228";"graphik dimensions ltd pictureframes com";2016-12-28;1614;"HACK";"BSO";"US GA: State";2016
"5230";"e sports entertainment association esea";2017-01-08;1503710;"HACK";"BSO";"Media";2017
"5232";"metroplus health plan";2017-01-03;808;"DISC";"MED";"US GA: State";2017
"5233";"pathgroup";2016-12-29;1443;"DISC";"MED";"US GA: State";2016
"5234";"primewest health";2016-12-29;2441;"HACK";"MED";"US GA: State";2016
"5235";"susan m hughes center";2016-12-27;11400;"HACK";"MED";"US GA: State";2016
"5236";"waiting room solutions limited liability limited partnership";2016-12-23;700;"DISC";"MED";"US GA: State";2016
"5237";"henry county health department";2016-12-21;574;"PHYS";"MED";"US GA: State";2016
"5240";"children s hospital of los angeles";2017-01-13;3600;"PORT";"MED";"US GA: State";2017
"5241";"california department of justice";2017-01-18;3424;"DISC";"GOV";"Media";2017
"5242";"copilot provider services inc";2017-01-19;220000;"HACK";"BSO";"US GA: State";2017
"5244";"sutter county courthouse";2016-06-14;43;"DISC";"GOV";"Media";2016
"5245";"centene";2016-01-26;950000;"PORT";"BSF";"Media";2016
"5247";"department homeland security";2016-02-08;9000;"HACK";"GOV";"Media";2016
"5248";"university california berkeley";2016-02-26;80000;"HACK";"EDU";"Media";2016
"5249";"linkedin";2016-05-17;1,17e+08;"HACK";"BSO";"Media";2016
"5250";"tumblr";2016-05-13;65469300;"HACK";"BSO";"Media";2016
"5264";"vertiv co health welfare plan";2017-01-31;955;"DISC";"MED";"US GA: State";2017
"5266";"arby s";2017-02-09;335000;"HACK";"BSR";"Media";2017
"5267";"children s medical center of dallas";2010-01-18;3800;"PORT";"MED";"US GA: State";2010
"5268";"children s medical center of dallas";2013-07-10;2462;"PORT";"MED";"US GA: State";2013
"5276";"jeffrey d rice";2017-02-02;1586;"PORT";"MED";"US GA: State";2017
"5277";"deboer income tax";2017-02-17;7;"HACK";"BSF";"US GA: State";2017
"5280";"catalina post acute and rehabilitation";2017-02-23;2953;"PHYS";"MED";"US GA: State";2017
"5281";"dignity health st joseph s hospital and medical center";2017-02-23;600;"INSD";"MED";"Media";2017
"5282";"group health incorporated";2017-02-17;703;"DISC";"MED";"US GA: State";2017
"5286";"spiral toys";2017-02-27;2e+06;"HACK";"BSO";"Media";2017
"5287";"boeing";2017-02-27;36000;"DISC";"BSO";"Media";2017
"5288";"autoneum north america";2017-03-01;2400;"HACK";"BSO";"Media";2017
"5289";"goldenvoice coachella music festival";2017-03-02;950000;"HACK";"BSO";"Media";2017
"5295";"berkeley medical center";2017-02-27;7445;"INSD";"MED";"Media";2017
"5296";"universal care dba brand new day";2017-03-06;14005;"HACK";"MED";"Media";2017
"5297";"the north carolina department of health and human services";2017-02-28;12731;"DISC";"MED";"Media";2017
"5299";"the center for election systems at kennesaw state university";2017-03-03;7500000;NA;"EDU";"Media";2017
"5300";"sharp healthcare";2017-03-03;750;"PORT";"MED";"Media";2017
"5306";"dunn and bradstreet";2017-03-15;33500000;"DISC";"BSO";"Media";2017
"5308";"river city media";2017-03-08;1,37e+09;"DISC";"BSO";"Media";2017
"5309";"emory healthcare";2017-02-28;80000;"HACK";"MED";"Media";2017
"5310";"cloudfare";2017-02-24;4300000;"DISC";"BSO";"Media";2017
"5314";"bjc healthcare raising st louis";2017-03-16;644;"DISC";"MED";NA;2017
